alunoid,campus,curso,forma_acesso_seletivo,frequencia,reprovacoes,rendabruta,ira,modalidade,genero,raca,idade,idioma,ficou_tempo_sem_estudar,razao_ausencia_educacional,quantidade_computadores,exclusivo_rede_publica,companhia_domiciliar,mae_nivel_escolaridade,pai_nivel_escolaridade,quantidade_notebooks,estado_civil,qtd_filhos,tipo_area_residencial,trabalha,situacao
129750,MTC,Especialização em Ensino de Matemática,CON,100.0%,0.0,0.0,9.54,Especialização,F,Parda,47,False,False,,1.0,False,Parentes,Alfabetizado,Alfabetizado,0.0,União Estável,0,Urbano,Serviço público,Concluído
164399,MTC,Programa de Doutorado em Quimica em Associação Ufma-Ifma,CON,75.0%,0.0,5000.0,7.78,Doutorado,M,Parda,48,True,False,,,False,Cônjuge,Ensino médio incompleto,Ensino médio completo,1.0,Casado(a),0,Urbano,Trabalha com ví­nculo empregatício,Matrícula Vínculo Institucional
129662,MTC,Especialização em Ensino de Matemática,CON,100.0%,0.0,21.0,8.9,Especialização,F,Parda,33,True,False,,1.0,False,Cônjuge,Ensino médio completo,Não sei informar,1.0,Casado(a),0,Rural,Serviço público,Concluído
5601,MTC,Química,CON,89.0%,0.0,2000.0,6.75,Licenciatura,M,Parda,40,False,False,,2.0,False,Cônjuge,Ensino fundamental incompleto,Ensino superior completo,1.0,Casado(a),0,Urbano,Trabalha com ví­nculo empregatício,Aguardando ENADE
85686,MTC,Química EAD,CON,100.0%,0.0,0.0,9.18,Licenciatura,F,Branca,26,False,False,,1.0,False,Cônjuge,Pós-graduação completa,Ensino fundamental incompleto,0.0,Casado(a),0,Urbano,Não está trabalhando,Formado
135490,MTC,Mestrado Profissional em Educação Profissional E Tecnológica,CON,83.0%,0.0,14000.0,9.56,Mestrado,F,Branca,42,True,False,,1.0,False,Sozinho,Ensino médio completo,Ensino fundamental incompleto,2.0,ViÃºvo(a),0,Urbano,Serviço público,Matrícula Vínculo Institucional
46426,MTC,Sistemas de Informação,COT,92.0%,5.0,0.0,6.2,Bacharelado,M,Preta,29,True,False,,,False,Cônjuge,Ensino médio incompleto,Ensino médio completo,,Casado(a),0,Urbano,Serviço público,Matriculado
171358,MTC,Técnico em Eletromecânica,CON,99.0%,0.0,1220.0,8.31,Integrado,M,Preta,16,False,False,,,False,Mãe,Ensino médio incompleto,Ensino médio completo,,Não declarado,0,Urbano,Nunca trabalhou,Matriculado
175100,MTC,Técnico em Eletromecânica,,66.0%,0.0,1200.0,0.0,Concomitante,M,Parda,17,False,False,,,False,Pais,Ensino médio completo,Ensino fundamental incompleto,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
27499,MTC,Engenharia Elétrica Industrial,COT,98.0%,0.0,4000.0,0.0,Bacharelado,M,Parda,31,True,False,,,False,Cônjuge,Ensino médio completo,Ensino médio completo,,Casado(a),0,Urbano,Trabalha com ví­nculo empregatício,Matriculado
154735,MTC,Mestrado Profissional em Educação Profissional E Tecnológica,COT,98.0%,0.0,12.12,9.5,Mestrado,F,Preta,37,False,False,,1.0,False,Cônjuge,NÃ£o Estudou,Não Estudou,0.0,Casado(a),0,Urbano,Não está trabalhando,Matriculado
171367,MTC,Técnico em Eletromecânica,,80.0%,0.0,1200.0,0.0,Concomitante,M,Parda,16,False,False,,,False,Não informado,Ensino fundamental incompleto,Ensino fundamental incompleto,,Não declarado,0,NÃ£o informado,Trabalhador rural/Agricultor,Matriculado
170485,MTC,Técnico em Design Gráfico,CON,98.0%,0.0,5000.0,0.0,Integrado,F,Branca,16,True,False,,,False,Mãe,Ensino superior completo,Ensino superior incompleto,,Não declarado,0,Urbano,Empresa privada,Matriculado
171935,MTC,Técnico em Mecânica,COT,65.0%,41.0,0.0,3.0,Concomitante,M,Parda,16,False,False,,,False,Mãe,Ensino médio completo,Não sei informar,,Não declarado,0,Urbano,Nunca trabalhou,Matriculado
173892,MTC,Técnico em Eletrônica,,100.0%,0.0,300.0,0.0,Concomitante,M,Preta,16,False,False,,,False,Não informado,Ensino médio completo,Ensino médio incompleto,,Não declarado,0,NÃ£o informado,Nunca trabalhou,Matriculado
